Title,Author,ArXiv Number,Year,Label,Download_pdf,Download_src,Download_link
"PairInstability Gap Black Holes in Population III Star Clusters Pathways Dynamics and Gravitational Wave Implications","Wu Weiwei and Wang Long and Liu Shuai and Sun Yining and Tanikawa Ataru and Fujii Michiko","2504.20392","2025","WuPairInstability2025","y","n","nan"
"{Stacking} {PANCAKEZ}: sPectroscopic {Analysis} with {NirspeC} stAcKs in the {Epoch} of reioniZation. {Weak} {ISM} {Absorption} and {Implications} for {Ionizing} {Photon} {Escape} at $z\sim7$","Glazer K and Jones T and Chen Y and Sanders R and Bradac M and Pahl A and Shapley A and Ellis R and Topping M and Reddy N","2504.21080","2025","KelseyStacking2025","y","n","nan"
"{Intermediate}-mass black holes and contribution to extragalactic background light from {Population} {III} stars in {Milky} {Way}-like galaxies","Mkrtchyan A and Horns D","2505.02245","2025","ArtakIntermediatemass2025","y","n","nan"
"{Impact} of anisotropic photon emission from sources during the epoch of reionisation","Schwandt T and Georgiev I and Giri S and Mellema G and Iliev I","2505.02716","2025","TimoImpact2025","y","n","nan"
"{Hidden} {Population} {III} {Descendants} in {Ultra}-{Faint} {Dwarf} {Galaxies}","Rossi M and Salvadori S and Skuladottir A and Vanni I and Koutsouridou I","2406.12960","2024","MartinaHidden2024","y","n","nan"
"{The} long road to the {Green} {Valley}: {Tracing} the evolution of the {Green} {Valley} galaxies in the {EAGLE} simulation","Das A and Pandey B","2501.01207","2025","ApashankaThe2025","y","n","nan"
"{The} role of magnetic field and stellar feedback in the evolution of filamentary structures in collapsing star-forming clouds","Suin P and Arzoumanian D and Zavagno A and Hennebelle P","2505.02903","2025","PaoloThe2025","y","n","nan"
"{A} data-driven approach for star formation parameterization using symbolic regression","Salim D and Orr M and Burkhart B and Somerville R and Cramner M","2505.04681","2025","DianeA2025","y","n","nan"
"{The} {Impact} of {Early} {Massive} {Galaxy} {Formation} on the {Cosmic} {Microwave} {Background}","Gjergo E and Kroupa P","2505.04687","2025","EdaThe2025","y","n","nan"
"{Density} modulated star formation efficiency: implications for the observed abundance of ultra-violet luminous galaxies at z>10","Somerville R and Yung L and Lancaster L and Menon S and Sommovigo L and Finkelstein S","2505.05442","2025","RachelDensity2025","y","n","nan"
"{The} {THESAN}-{ZOOM} project: {Star} formation efficiency from giant molecular clouds to galactic scale in high-redshift starbursts","Wang Z and Shen X and Vogelsberger M and Li H and Kannan R and Puchwein E and Smith A and Borrow J and Garaldi E and Keating L and Zier O and McClymont W and Tacchella S and Ni Y and Hernquist L","2505.05554","2025","ZihaoThe2025","y","n","nan"
"{SIEGE} {IV}: compact star clusters in cosmological simulations with high star formation efficiency and sub-parsec resolution","Pascale R and Calura F and Vesperini E and Rosdahl J and Nipoti C and Giunchi E and Lacchin E and Lupi A and Messa M and Meneghetti M and Ragagnin A and Vanzella E and Zanella A","2505.06346","2025","R.SIEGE2025","y","n","nan"
"{Rapid} formation of a very massive star >50000 ${M\_}\odot$ and subsequently an {IMBH} from runaway collisions. {Direct} {N}-body and {Monte} {Carlo} simulations of dense star clusters","Vergara M and Askar A and Kamlah A and Spurzem R and Dotti F and Schleicher D and Sedda M and Hypki A and Giersz M and Hurley J and Berczik P and Escala A and Hoyer N and Neumayer N and Pang X and Tanikawa A and Cen R and Naab T","2505.07491","2025","MarceloRapid2025","y","n","nan"
"{Emission} {Line} {Diagnostics} for {IMBHs} in {Dwarf} {Galaxies}: {Accounting} for {BH} {Seeding} and {ULX} {Excitation}","Richardson C and Wels J and Garofali K and Levanti J and Lebouteiller V and Lehmer B and BasuZych A and Berg D and Bellovary J and Chisholm J and Kannappan S and Lambrides E and Polimera M and Ramambason L and Varese M and Vivona T","2505.07749","2025","ChrisEmission2025","y","n","nan"
"{Young} stars discovered in dwarf spheroidal galaxies confirm their recent infall into the {Milky} way","Hammer F and Bonifacio P and Caffau E and Yang Y and Arenou F and Babusiaux C and Spite M and Francois P and Gomez A and Katz D and Monaco L and Pawlowski M and Wang J","2505.11587","2025","FrancoisYoung2025","y","n","nan"
"{First} {Light} {And} {Reionization} {Epoch} {Simulations} ({FLARES}) {\textendash} {XIX}: {Supermassive} black hole mergers in the early {Universe} and their environmental dependence","Liao S and Irodotou D and Maltz M and Lovell C and Jiang Z and Newman S and Vijayan A and Punyasheel P and Roper W and Seeyave L and Soininen S and Thomas P and Wilkins S","2505.12591","2025","ShihongFirst2025","y","n","nan"
"{The} {Luminosity} of the {Darkness}: {Schechter} function in dark sirens","Turski C and Brozzetti M and Dalya G and Punturo M and Ghosh A","2505.13568","2025","CezaryThe2025","y","n","nan"
"{Influence} of {Dark} {Matter} on the {Formation} of {Biogenic} {Elements} in {Early} {Universe} {Stars}","Yildiz L and Kayki D and Ciappina M","2505.17522","2025","L.Influence2025","y","n","nan"
"{Dark} {Matter} {Density} {Profile} {Around} a {Newborn} {First} {Star}","Hirano S and Yoshida N","2505.17828","2025","ShingoDark2025","y","n","nan"
"{MAssive} galaxies aCRoss cOSmic time revealed by {JWST}/{MIRI} ({MACROSS}): {The} true number density of massive galaxies in the early {Universe}","Wang T and Sun H and Zhou L and Xu K and Cheng C and Li Z and Chen Y and Mo H and Dekel A and Yang T and Wang Y and Zheng X and Cai Z and Elbaz D and Dai Y and Huang J","2403.02399","2024","MACROSS","y","n","nan"
"{UNCOVER}: {The} growth of the first massive black holes from {JWST}/{NIRSpec} {\textendash} spectroscopic redshift confirmation of an {X}-ray luminous {AGN} at z=10.1","Goulding A and Greene J and Setton D and Labbe I and Bezanson R and Miller T and Atek H and Bogdan A and Brammer G and Chemerynska I and Cutler S and Dayal P and Fudamoto Y and Fujimoto S and Furtak L and Kokorev V and Khullar G and Leja J and Marchesini D and Natarajan P and Nelson E and Oesch P and Pan R and Papovich C and Price S and van D and Wang B and Weaver J and Whitaker K and Zitrin A","2308.02750","2023","UNCOVER","y","n","nan"
"{The} cosmic timeline implied by the highest redshift quasars","Melia F","2412.02706","2024","CosmicTimelineQuasars","y","y","nan"
"{Formation} of {SMBH} seeds in {Population} {III} star clusters through collisions: the importance of mass loss","Alister S and Schleicher D and Boekholt T and Fellhauer M and Klessen R","1912.01737","2020","SeguelFormation2020","y","n","nan"
"{The} formation of supermassive black holes from {Population} {III}.1 seeds. {III}. {Galaxy} evolution and black hole growth from semi-analytic modelling","Cammelli V and Monaco P and Tan J and Singh J and Fontanot F and Lucia G and Hirschmann M and Xie L","2407.09949","2024","VieriThe2024","y","n","nan"
"{Formation} of {Supermassive} {Black} {Hole} {Seeds}","Latif M and Ferrara A","1605.07391","2016","MuhammadFormation2016","y","n","nan"
"DECIPHERING THERMAL PHASE CURVES OF DRY TIDALLY LOCKED TERRESTRIAL PLANETS","Koll D and Abbot D","nan","2015","Deepayan1","n","n","nan"
"{Trapping} of {H} <scp>ii</scp> regions in {Population} {III} star formation","Jaura O and Glover S and Wollenberg K and Klessen R and Geen S and Haemmerle L","2202.09803","2022","OndrejTrapping2022","y","n","nan"
"{Formation} of {Massive} and {Wide} {First}-star {Binaries} in {Radiation} {Hydrodynamic} {Simulations}","Sugimura K and Matsumoto T and Hosokawa T and Hirano S and Omukai K","2307.15108","2023","KazuyukiFormation2023","y","n","nan"
"{Formation} of {Supersonic} {Turbulence} in the {Primordial} {Star}-forming {Cloud}","Chen K and Ho M and Tung P","2505.18964","2025","Ke-JungFormation2025","y","n","nan"
"{Bursty} or heavy? {The} surprise of bright {Population} {III} systems in the {Reionization} era","Venditti A and Munoz J and Bromm V and Fujimoto S and Finkelstein S and Chisholm J","2505.20263","2025","AlessandraBursty2025","y","n","nan"
"{Effect} of {Magnetic} {Field} on the {Accretion} {Phase} of {Population} {III} {Star} {Formation}","Machida M and Hirano S and Basu S","2505.21110","2025","MasahiroEffect2025","y","n","nan"
"{Spectral} {Evolution} of {Rotating} {Population} {III} {Stars}","Hassan J and Perna R and Cantiello M and Parsotan T and Lazzati D and Walker N","2505.21463","2025","JakeSpectral2025","y","n","nan"
"{FIRE}-2 simulations: physics versus numerics in galaxy formation","Hopkins P and Wetzel A and Kerevs D and FaucherGiguere C and Quataert E and BoylanKolchin M and Murray N and Hayward C and GarrisonKimmel S and Hummels C and Feldmann R and Torrey P and Ma X and AnglesAlcazar D and Su K and Orr M and Schmitz D and Escala I and Sanderson R and Grudic M and Hafen Z and Kim J and Fitts A and Bullock J and Wheeler C and Chan T and Elbert O and Narayanan D","1702.06148v2","2018","FIRE2","y","n","nan"
"{FIRE}-3: updated stellar evolution models, yields, and microphysics and fitting functions for applications in galaxy simulations","Hopkins P and Wetzel A and Wheeler C and Sanderson R and Grudic M and Sameie O and BoylanKolchin M and Orr M and Ma X and FaucherGiguere C and Kerevs D and Quataert E and Su K and Moreno J and Feldmann R and Bullock J and Loebman S and AnglesAlcazar D and Stern J and Necib L and Choban C and Hayward C","2203.00040","2022","FIRE3","y","n","nan"
